,IDENTITAS,UMUR,JENIS_KELAMIN,PENGALAMAN_MENGEMUDI,PENDIDIKAN,PENGHASILAN,SKOR_KREDIT,PEMILIK_KENDARAAN,TAHUN_PRODUKSI,STATUS,ANAK,KODE_POS,KM_PER_TAHUN,JENIS_KENDARAAN,TILANG_NGEBUT,TILANG_MABUK,KECELAKAAN_SEBELUMNYA,KLAIM
25,193110,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5519701813636283,ya,sebelum 2020,menikah,tidak ada,10238,14000.0,sport,0,0,0,tidak
26,98515,antara 40-65 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.6269960497386653,ya,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,1,1,0,tidak
27,165623,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,kurang dari UMR,0.2947974807719967,ya,sebelum 2020,menikah,tidak ada,10238,15000.0,keluarga,0,0,1,tidak
28,493590,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.5519504952618395,tidak,setelah 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,1,tidak
29,389792,lebih dari 65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.649820471216227,ya,setelah 2020,menikah,ada,32765,9000.0,keluarga,0,0,0,ya
30,642614,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5218044346397632,ya,setelah 2020,menikah,ada,92101,7000.0,keluarga,2,0,1,tidak
31,951465,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7012683240604196,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,3,1,1,tidak
32,496987,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.1712440288213211,ya,sebelum 2020,menikah,ada,10238,9000.0,keluarga,0,0,0,tidak
33,732437,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3184419972124171,ya,sebelum 2020,belum menikah,ada,32765,10000.0,keluarga,0,0,0,ya
34,146897,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.6046842696715551,ya,sebelum 2020,menikah,ada,21217,11000.0,keluarga,0,0,0,ya
35,316173,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.5049948526440377,tidak,setelah 2020,belum menikah,tidak ada,32765,8000.0,keluarga,0,0,0,ya
36,9013,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 1-2x UMR,0.6251466352816216,ya,sebelum 2020,belum menikah,ada,10238,17000.0,keluarga,3,0,2,tidak
37,511757,antara 40-65 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 2-3x UMR,,ya,sebelum 2020,menikah,ada,10238,11000.0,keluarga,2,0,1,tidak
38,429947,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,,tidak,setelah 2020,belum menikah,ada,10238,12000.0,sport,6,0,5,tidak
39,485660,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.5781305873212035,ya,sebelum 2020,belum menikah,ada,92101,14000.0,keluarga,1,0,1,tidak
40,80496,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.7054542902137054,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,5,1,3,tidak
41,478336,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6595254905875941,ya,setelah 2020,belum menikah,ada,10238,16000.0,keluarga,4,0,2,tidak
42,10843,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5873836120460223,tidak,setelah 2020,menikah,ada,32765,9000.0,keluarga,10,2,0,tidak
43,397446,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.4064824253974476,tidak,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
44,101678,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,kurang dari UMR,0.2857471319596469,tidak,sebelum 2020,belum menikah,ada,10238,13000.0,keluarga,1,0,0,ya
45,231661,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5022849652731057,tidak,sebelum 2020,belum menikah,tidak ada,10238,14000.0,sport,3,0,4,tidak
46,173782,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.6256257210210231,ya,setelah 2020,menikah,ada,10238,7000.0,keluarga,7,0,5,tidak
47,921097,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,,ya,setelah 2020,menikah,ada,92101,11000.0,keluarga,3,0,2,tidak
48,98839,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,antara 1-2x UMR,0.3931531299744003,ya,sebelum 2020,belum menikah,ada,32765,12000.0,keluarga,1,0,0,tidak
49,105372,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.5039497598168121,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,1,0,0,tidak
50,888828,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6586274302571438,ya,sebelum 2020,menikah,tidak ada,10238,14000.0,keluarga,3,0,2,tidak
51,37454,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5241464657501199,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
52,370044,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.5531007570628673,tidak,setelah 2020,menikah,ada,32765,7000.0,keluarga,9,0,1,tidak
53,768282,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.4475509489142775,tidak,sebelum 2020,menikah,ada,10238,8000.0,keluarga,0,0,0,ya
54,738729,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,antara 1-2x UMR,0.5107331365064207,ya,sebelum 2020,menikah,ada,10238,7000.0,keluarga,0,0,0,ya
55,437535,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,,ya,setelah 2020,menikah,tidak ada,10238,15000.0,keluarga,0,0,0,tidak
56,329536,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.4613735917269193,tidak,sebelum 2020,belum menikah,tidak ada,32765,9000.0,keluarga,0,0,0,ya
57,328531,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,antara 2-3x UMR,0.3875569443647317,tidak,setelah 2020,belum menikah,ada,32765,12000.0,keluarga,2,0,1,tidak
58,123941,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,antara 2-3x UMR,0.5701572256616224,ya,setelah 2020,menikah,ada,10238,,keluarga,0,0,0,tidak
59,131881,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 1-2x UMR,0.5501250875743224,ya,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,1,0,tidak
60,839572,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,0.4529442316093683,tidak,sebelum 2020,menikah,ada,10238,12000.0,keluarga,3,0,1,tidak
61,171578,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,sebelum 2020,menikah,ada,10238,8000.0,keluarga,2,0,1,tidak
62,589757,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5352743096602144,ya,sebelum 2020,menikah,ada,92101,7000.0,keluarga,2,0,0,tidak
63,336859,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.6147359485632915,ya,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,0,0,0,ya
64,788111,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,kurang dari UMR,0.4544471564329259,ya,sebelum 2020,menikah,ada,10238,,keluarga,1,0,1,tidak
65,407453,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6137409183819416,ya,sebelum 2020,belum menikah,tidak ada,10238,,keluarga,0,0,0,tidak
66,367026,antara 40-65 tahun,perempuan,antara 10-20 tahun,SMA,antara 1-2x UMR,0.5326613280250595,ya,sebelum 2020,menikah,ada,10238,11000.0,keluarga,0,0,0,tidak
67,334687,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.4277285143019345,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,0,0,ya
68,623367,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6859457213719147,ya,sebelum 2020,menikah,ada,32765,5000.0,keluarga,4,1,4,tidak
69,688440,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6936124267187082,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,2,0,0,tidak
70,547974,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5979905963582334,tidak,sebelum 2020,menikah,ada,10238,12000.0,keluarga,2,1,7,ya
71,989064,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3308186664986927,tidak,setelah 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,ya
72,422816,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,,ya,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,5,0,7,tidak
73,307408,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 1-2x UMR,,ya,sebelum 2020,belum menikah,ada,10238,9000.0,keluarga,2,0,0,tidak
74,675898,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.5083042183803546,ya,sebelum 2020,belum menikah,ada,10238,16000.0,keluarga,0,0,0,tidak
75,480452,antara 25-40 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.7641329165005233,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,tidak
76,93199,antara 40-65 tahun,perempuan,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.4775169603837716,ya,setelah 2020,menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
77,125802,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6812332078486962,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,0,0,1,tidak
78,616663,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.4671555457007022,ya,setelah 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,tidak
79,423497,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.3941632454999797,ya,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
80,492837,antara 40-65 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6610607322734078,ya,setelah 2020,menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
81,422563,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6651879748430346,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,2,0,1,tidak
82,185231,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.560770206632082,ya,sebelum 2020,belum menikah,ada,10238,11000.0,keluarga,0,0,0,tidak
83,949152,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.7454327103696547,tidak,setelah 2020,belum menikah,tidak ada,32765,9000.0,keluarga,0,0,0,tidak
84,859453,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,antara 2-3x UMR,0.53257435224505,ya,sebelum 2020,menikah,ada,10238,13000.0,keluarga,1,0,2,tidak
85,466578,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,0.5267473391434415,ya,setelah 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
86,998214,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.4124517461654282,tidak,sebelum 2020,belum menikah,tidak ada,10238,14000.0,keluarga,0,0,0,ya
87,828462,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 1-2x UMR,0.3871071449018297,tidak,sebelum 2020,belum menikah,ada,10238,16000.0,keluarga,0,0,6,tidak
88,511837,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.5499938678343249,ya,sebelum 2020,menikah,ada,32765,9000.0,keluarga,3,1,1,tidak
89,554995,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.5853420947575604,ya,sebelum 2020,menikah,ada,10238,12000.0,sport,0,0,0,ya
90,680717,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,tidak ada,antara 2-3x UMR,0.5987396054343311,ya,sebelum 2020,menikah,ada,10238,14000.0,keluarga,6,1,3,tidak
91,978021,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6026557000791793,ya,setelah 2020,menikah,ada,10238,7000.0,keluarga,4,0,6,tidak
92,509815,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5114570584803535,ya,setelah 2020,menikah,ada,32765,,keluarga,0,0,0,tidak
93,6676,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.5586591735288894,tidak,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,3,0,2,tidak
94,362280,antara 40-65 tahun,laki-laki,antara 10-20 tahun,SMA,antara 1-2x UMR,0.6284070137170304,tidak,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,0,0,0,ya
95,883018,antara 40-65 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5057903732571783,ya,sebelum 2020,belum menikah,ada,10238,13000.0,keluarga,0,0,0,tidak
96,889355,antara 25-40 tahun,perempuan,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.7268184180645275,ya,sebelum 2020,menikah,ada,10238,15000.0,keluarga,2,0,0,tidak
97,198273,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6904423335733175,ya,setelah 2020,menikah,ada,32765,9000.0,keluarga,8,0,2,tidak
98,197763,antara 40-65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.4796771646619314,tidak,setelah 2020,menikah,tidak ada,10238,14000.0,keluarga,1,0,2,tidak
99,55670,antara 25-40 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,3,1,0,tidak
100,545941,antara 40-65 tahun,perempuan,antara 20-30 tahun,tidak ada,antara 1-2x UMR,0.4405592041968235,ya,setelah 2020,menikah,ada,10238,11000.0,keluarga,1,0,2,tidak
101,814196,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,antara 2-3x UMR,0.634052597196068,ya,sebelum 2020,belum menikah,ada,32765,,keluarga,0,0,0,ya
102,560160,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.4574695879943666,tidak,sebelum 2020,belum menikah,tidak ada,10238,,keluarga,0,0,0,tidak
103,320444,antara 25-40 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3086490182004943,tidak,sebelum 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
104,305793,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.2458351852340737,tidak,sebelum 2020,menikah,ada,10238,11000.0,keluarga,0,0,0,ya
105,362190,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.3056465190413162,tidak,sebelum 2020,belum menikah,tidak ada,10238,14000.0,keluarga,0,0,0,ya
106,62647,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,lebih dari 3x UMR,0.7440140862681482,ya,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,2,0,1,tidak
107,296948,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6704645467899408,ya,setelah 2020,menikah,ada,10238,14000.0,keluarga,0,0,0,tidak
108,673660,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6830407984824192,tidak,setelah 2020,menikah,ada,10238,10000.0,keluarga,4,1,3,tidak
109,945867,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.828628569053192,ya,sebelum 2020,belum menikah,tidak ada,10238,13000.0,keluarga,0,0,0,ya
110,391880,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,tidak ada,antara 2-3x UMR,,ya,sebelum 2020,menikah,ada,32765,10000.0,keluarga,12,2,2,tidak
111,241973,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6293380939717407,ya,sebelum 2020,menikah,tidak ada,10238,11000.0,keluarga,2,0,2,tidak
112,429503,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,0.28372421050714,tidak,sebelum 2020,belum menikah,ada,10238,15000.0,keluarga,0,0,0,ya
113,810013,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.4576486815858435,ya,setelah 2020,belum menikah,tidak ada,10238,14000.0,sport,0,0,0,ya
114,663458,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,kurang dari UMR,0.3049876423937953,tidak,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,0,0,0,ya
115,879976,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.5517442884135392,tidak,sebelum 2020,menikah,ada,32765,10000.0,keluarga,0,0,0,ya
116,418841,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3186855562451054,ya,sebelum 2020,menikah,tidak ada,32765,9000.0,keluarga,0,0,0,ya
117,542236,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.436944194154781,ya,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,3,0,0,tidak
118,937573,antara 40-65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.6291939843221722,ya,sebelum 2020,menikah,ada,32765,7000.0,keluarga,5,0,1,tidak
119,670850,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.4055600158887265,ya,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
120,151252,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.6235462115803201,ya,sebelum 2020,menikah,tidak ada,10238,11000.0,keluarga,0,0,0,tidak
121,706349,lebih dari 65 tahun,laki-laki,antara 10-20 tahun,universitas,lebih dari 3x UMR,0.7270329897821235,ya,sebelum 2020,menikah,ada,10238,10000.0,keluarga,1,1,2,tidak
122,602998,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,tidak ada,antara 1-2x UMR,0.426828388879915,ya,sebelum 2020,menikah,tidak ada,10238,14000.0,keluarga,3,1,7,tidak
123,242772,antara 25-40 tahun,perempuan,antara 10-20 tahun,tidak ada,antara 2-3x UMR,0.5036589704487734,ya,sebelum 2020,belum menikah,ada,10238,10000.0,keluarga,1,2,0,tidak
124,393449,antara 25-40 tahun,perempuan,antara 10-20 tahun,SMA,antara 2-3x UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,12000.0,keluarga,2,0,0,tidak
125,380740,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7264400018455291,ya,setelah 2020,menikah,ada,10238,7000.0,keluarga,2,0,3,tidak
126,938115,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.2444900931240796,tidak,sebelum 2020,belum menikah,ada,32765,,keluarga,0,0,0,ya
127,727943,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.5757707974509628,ya,sebelum 2020,belum menikah,tidak ada,10238,11000.0,keluarga,0,0,0,ya
128,766309,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,kurang dari UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,10000.0,sport,0,0,0,ya
129,261229,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.468671965728324,ya,setelah 2020,belum menikah,ada,32765,9000.0,keluarga,0,0,0,ya
130,60866,lebih dari 65 tahun,laki-laki,antara 20-30 tahun,universitas,lebih dari 3x UMR,0.6970834558464781,tidak,setelah 2020,belum menikah,ada,10238,13000.0,keluarga,3,0,2,tidak
131,752797,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,antara 1-2x UMR,0.5429181079423034,ya,sebelum 2020,belum menikah,tidak ada,10238,15000.0,keluarga,1,1,0,tidak
132,45002,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6722562535141292,ya,sebelum 2020,menikah,ada,10238,9000.0,keluarga,4,1,2,tidak
133,482448,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3864066185703315,tidak,sebelum 2020,belum menikah,tidak ada,32765,8000.0,keluarga,0,0,0,ya
134,549142,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 2-3x UMR,0.5512978330713669,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,0,0,ya
135,95138,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,antara 2-3x UMR,0.5985570254244251,tidak,setelah 2020,menikah,tidak ada,10238,14000.0,keluarga,4,1,4,tidak
